Title,Price,Rating,Reviews,Link,Brand
"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core i5 1335U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port",53990,4.1,120,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTkxNjEzODE4NDkyMTE3OjE3NjY3NTg5OTI6c3BfYXRmOjMwMDg2NjE2NDY5MDgzMjo6MDo6&url=%2FSamsung-Processor-Windows-Fingerprint-Graphics%2Fdp%2FB0D143SJ9R%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU%26dib_tag%3Dse%26keywords%3Dgaming%2Blaptop%26qid%3D1766758992%26sr%3D8-1-spons%26aref%3DTQTOPFfXe3%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=TQTOPFfXe3&sp_cr=ZAZ,SAMSUNG
"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD)| 15.6"" Full HD Screen | Intel i5 14th Gen 120U Processor |Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics |RJ45 LAN Port",62990,3.8,21,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTkxNjEzODE4NDkyMTE3OjE3NjY3NTg5OTI6c3BfYXRmOjMwMDM0MjkyNTMwNjUzMjo6MDo6&url=%2FSamsung-Processor-Windows-Fingerprint-Graphics%2Fdp%2FB0CX4VRZJT%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU%26dib_tag%3Dse%26keywords%3Dgaming%2Blaptop%26qid%3D1766758992%26sr%3D8-2-spons%26aref%3D3lrU8kJ5yc%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=3lrU8kJ5yc&sp_cr=ZAZ,SAMSUNG
"HP Victus, AMD Ryzen 9-8945HS, 8GB RTX 4060, 16GB RAM (Upgradeable) 1TB SSD, 144Hz, 300nits, IPS, FHD, 15.6""/39.6cm, Win11, M365* Office 24, Blue, 2.29Kg, Backlit, fb3025AX, AI Gaming Laptop",99990,3.8,343,https://www.amazon.in/HP-9-8945HS-Upgrade-300nits-fb3025AX/dp/B0DTJ3PX6T/ref=sr_1_3?dib=eyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU&dib_tag=se&keywords=gaming+laptop&qid=1766758992&sr=8-3,HP
"ASUS TUF Gaming A15, AMD Ryzen 7 7435HS Gaming Laptop(NVIDIA RTX 3050-4GB/60W TGP/16GB RAM/512GB SSD/FHD/15.6""/144Hz/RGB KB/48WHr/Windows 11//Graphite Black/2.30 Kg) FA506NCR-HN054W",64990,4.2,608,https://www.amazon.in/ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J/ref=sr_1_4?dib=eyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU&dib_tag=se&keywords=gaming+laptop&qid=1766758992&sr=8-4,ASUS
"ASUS TUF A16 (2025), AMD Ryzen 7 7445HS, Gaming Laptop (RTX 4050-6GB/140W TGP/16GB RAM/1TB SSD/FHD+/16""/144Hz/56Whrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Mecha Gray/2.2Kg) FA607NUG-RL189WS",89990,4.0,57,https://www.amazon.in/ASUS-7445HS-4050-6GB-Windows-FA607NUG-RL189WS/dp/B0FM38SKN8/ref=sr_1_5?dib=eyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU&dib_tag=se&keywords=gaming+laptop&qid=1766758992&sr=8-5,ASUS
"HP Smartchoice Victus, AMD Ryzen 5 8645HS, 6GB RTX 3050, 31 Tops, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, 300nits, FHD, 15.6""/39.6cm, Win11, M365* Office24, Blue, 2.3kg, fb3009AX, AI Gaming Laptop",64990,3.8,343,https://www.amazon.in/HP-Smartchoice-Upgrade-Office24-fb3009AX/dp/B0DTYX4VMP/ref=sr_1_6?dib=eyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU&dib_tag=se&keywords=gaming+laptop&qid=1766758992&sr=8-6,HP
"Lenovo LOQ Intel Core i7-13650HX| NVIDIA RTX 4060 8GB (24GB RAM/512GB SSD/144Hz Refresh Rate/15.6"" (39.6cm)/Windows 11/Office Home 2024/3 Mon. Game Pass/Grey/2.4Kg), 83DV018LIN AI Gaming Laptop",104913,3.3,3,https://www.amazon.in/Lenovo-i7-13650HX-Refresh-Windows-83DV018LIN/dp/B0FMR1MLTC/ref=sr_1_7?dib=eyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU&dib_tag=se&keywords=gaming+laptop&qid=1766758992&sr=8-7,LENOVO
"MSI Titan 18 HX AI,Intel Series 2 Core Ultra 9 285HX,46CM UHD+ MiniLED 120Hz Gaming Laptop(96GB/6TB NVMe SSD/Windows 11 Home/GeForce RTX 5090,GDDR7 24GB/Core Black/3.6Kg), A2XWJG-297IN",617990,2.4,2,https://www.amazon.in/MSI-MiniLED-Windows-GeForce-A2XWJG-297IN/dp/B0F1T2YBK9/ref=sr_1_8?dib=eyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU&dib_tag=se&keywords=gaming+laptop&qid=1766758992&sr=8-8,MSI
"ASUS TUF A15 (2025), AMD Ryzen 7 7445HS, Gaming Laptop(RTX 3050,75W TGP,16GB DDR5(Upgradeable Upto 64GB )512GB SSD,FHD,15.6"",144Hz,RGB Keyboard,48Whrs,Windows 11,Graphite Black,2.3 Kg) FA506NCG-HN199W",68990,4.2,608,https://www.amazon.in/ASUS-Upgradeable-Keyboard-Graphite-FA506NCG-HN199W/dp/B0FM3C4L2F/ref=sr_1_9?dib=eyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU&dib_tag=se&keywords=gaming+laptop&qid=1766758992&sr=8-9,ASUS
"ASUS ROG Strix G16,Intel Core Ultra 9 275HX Gaming Laptop(RTX 5070 Ti -12GB/140W TGP/32GB/1TB/2.5K QHD+/16""/240Hz/Windows 11/M365 Basic (1Year)*/Office Home 2024/Eclipse Gray/2.65 Kg) G615LR-S5190WS",249990,3.8,16,https://www.amazon.in/ASUS-Gaming-Windows-Eclipse-G615LR-S5190WS/dp/B0F5BH7D1L/ref=sr_1_10?dib=eyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU&dib_tag=se&keywords=gaming+laptop&qid=1766758992&sr=8-10,ASUS
